order_id,customer_id,ship_mode,vendor_id,order_status,order_purchase_date,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
CA-2014-101147,,First Class,VEN02,delivered,16-12-2017 22:28,16-12-2017,12-19-17 8:32 PM,12-27-17 6:03 PM,2018-01-18
CA-2014-101476,SD-20485,First Class,VEN04,delivered,23-01-2017 13:40,25-01-2017,1-26-17 11:26 AM,1-30-17 8:42 AM,2017-02-28
CA-2014-101602,,First Class,VEN05,delivered,17-05-2017 21:10,17-05-2017,5-19-17 10:42 AM,5-24-17 11:07 AM,2017-06-08
CA-2014-101931,TS-21370,First Class,VEN03,delivered,22-10-2017 14:25,22-10-2017,10-23-17 6:50 PM,10-27-17 9:23 PM,2017-11-10
CA-2014-103058,AG-10270,First Class,VEN01,delivered,30-01-2018 11:03,30-01-2018,2-5-18 3:44 PM,2-21-18 5:53 PM,2018-03-13
CA-2014-103100,AB-10105,First Class,VEN02,delivered,15-08-2018 09:38,17-08-2018,8-17-18 3:40 PM,8-22-18 9:13 PM,2018-09-12
CA-2014-103317,DM-13525,First Class,VEN01,delivered,06-08-2018 08:44,06-08-2018,8-7-18 4:11 PM,8-14-18 10:18 PM,2018-08-21
CA-2014-103366,EH-13990,First Class,VEN02,delivered,04-04-2018 18:42,04-04-2018,4-7-18 1:12 AM,4-19-18 12:28 AM,2018-04-25
CA-2014-103429,LW-16825,First Class,VEN05,delivered,09-08-2018 14:08,10-08-2018,8-10-18 2:13 PM,8-21-18 5:32 PM,2018-08-23
CA-2014-103989,MC-17605,First Class,VEN05,shipped,18-04-2018 15:28,18-04-2018,4-23-18 8:42 PM,,2018-05-18
CA-2014-105165,SZ-20035,First Class,VEN02,delivered,08-10-2017 15:06,10-10-2017,10-13-17 7:33 PM,10-21-17 4:04 PM,2017-11-03
CA-2014-105340,EH-14185,First Class,VEN04,delivered,15-05-2017 22:48,15-05-2017,5-19-17 1:22 PM,5-23-17 10:17 AM,2017-06-13
CA-2014-106054,JO-15145,First Class,VEN03,delivered,05-06-2018 18:22,05-06-2018,6-12-18 8:16 AM,6-14-18 2:47 PM,2018-06-29
CA-2014-106726,RS-19765,First Class,VEN05,delivered,05-01-2018 09:27,05-01-2018,1-10-18 8:18 PM,1-16-18 5:03 PM,2018-01-30
CA-2014-107916,JP-15460,First Class,VEN02,delivered,03-02-2017 20:30,03-02-2017,2-8-17 11:05 AM,2-20-17 11:43 AM,2017-03-17
CA-2014-108189,ES-14080,First Class,VEN04,delivered,24-11-2017 21:13,24-11-2017,11-29-17 5:38 PM,12-11-17 12:48 PM,2017-12-19
CA-2014-109043,CS-12355,First Class,VEN04,delivered,03-08-2018 20:48,03-08-2018,8-13-18 11:13 AM,8-22-18 12:51 AM,2018-08-29
CA-2014-109680,VP-21760,First Class,VEN05,delivered,13-05-2018 17:29,13-05-2018,5-17-18 3:06 PM,5-22-18 10:58 AM,2018-06-05
CA-2014-109932,VP-21760,First Class,VEN01,delivered,24-01-2018 10:49,24-01-2018,1-29-18 6:32 PM,3-27-18 12:12 AM,2018-02-22
CA-2014-110219,EB-13870,First Class,VEN05,delivered,08-02-2018 13:54,08-02-2018,2-9-18 12:49 AM,2-16-18 12:28 PM,2018-03-09
CA-2014-111451,KL-16555,First Class,VEN04,delivered,15-02-2017 13:44,15-02-2017,2-16-17 1:18 PM,2-22-17 1:50 PM,2017-03-16
CA-2014-111899,NC-18340,First Class,VEN02,delivered,25-11-2017 16:41,25-11-2017,11-27-17 4:41 PM,11-28-17 7:47 PM,2017-12-11
CA-2014-111934,GD-14590,First Class,VEN01,delivered,18-05-2018 15:30,18-05-2018,5-18-18 4:10 PM,6-6-18 7:26 PM,2018-06-06
CA-2014-112158,DP-13165,First Class,VEN05,delivered,20-12-2017 11:46,21-12-2017,12-21-17 6:38 PM,1-2-18 3:39 PM,2018-01-19
CA-2014-113166,LF-17185,First Class,VEN04,delivered,29-01-2018 20:11,29-01-2018,2-1-18 12:18 AM,2-7-18 7:52 PM,2018-02-22
CA-2014-113383,SF-20065,First Class,VEN04,delivered,24-03-2017 15:02,24-03-2017,3-28-17 8:33 AM,4-4-17 3:52 PM,2017-04-12
CA-2014-113887,TH-21550,First Class,VEN04,delivered,06-12-2017 10:09,06-12-2017,12-11-17 10:52 PM,12-18-17 6:56 PM,2018-01-03
